CO_CURSO,y_true,y_pred,y_proba
590,1,1,0.9973049696652713
1258681,0,0,0.01339336095082145
1374703,1,1,0.7591691797479494
1486097,1,1,0.9782500324473875
1328869,1,0,0.06033346620117686
73539,1,1,0.9508475446573658
1155660,0,0,0.3609399106809599
1185994,0,0,0.03537432157385476
4418,1,1,0.9983476609575737
3413,1,1,0.9973175951775339
1106422,1,1,0.929675740721803
1270501,1,1,0.9949662072819341
19056,1,1,0.9350973567463194
113565,0,1,0.7563246554341793
1111528,0,0,0.0025109741550190276
9805,1,1,0.9939732572450961
1282841,0,0,0.40269798626175995
1292466,1,1,0.62973215233271
67465,1,1,0.9165354232247581
82778,0,0,0.2449211177699646
1192188,1,1,0.9722793804779812
1433,1,1,0.9985497731584738
1376049,0,0,0.24085408878067074
1397972,1,1,0.9759336530581292
18785,1,1,0.8955862224789762
1260216,1,1,0.9998278034083866
1120508,0,0,0.23527480657734126
1068926,0,0,0.00560101214206488
20110,0,0,0.24206537472737466
113249,1,1,0.8914159474052122
1533187,0,0,0.06645469618366943
111094,0,0,0.015780242579366454
91011,0,0,0.02328401492314426
43154,1,1,0.9813183492599792
1060058,1,1,0.8646541251207448
5734,1,1,0.8794276905996133
122660,1,1,0.9966921180894018
1404823,0,0,0.011437994701337112
96497,1,1,0.6097666926352108
1427682,0,1,0.8426506948659627
38640,0,0,0.14697690541859204
51400,0,0,0.24437414692732956
1331541,0,0,0.15921664139855932
37940,1,1,0.9654979622096245
1404681,1,1,0.760917928058495
92284,1,1,0.9790008223085181
12331,1,1,0.9994202774404162
1458705,1,0,0.49252329075184714
1323598,1,1,0.993048303041201
1441447,0,0,0.0841495878794185
96306,1,1,0.6243236933282585
1522589,0,1,0.7643851789808126
13995,1,1,0.9908565851197667
4960,1,1,0.9783150537716307
1487491,1,1,0.9887385035319709
19410,0,0,0.03406309620894331
1481826,1,1,0.539726534955809
1364711,0,0,0.0008052705577441626
19361,1,1,0.9531589777396877
1399316,0,0,0.003508799191276282
1267043,0,0,0.12291586626797787
1519948,0,0,0.0871452945228126
1160943,1,1,0.9656896216611432
15461,0,0,0.0804387906776601
1499573,1,1,0.8343026269800558
1154789,1,1,0.9616064030069765
1454226,0,1,0.5975963337800886
1179343,0,0,0.08242285773917542
90359,0,0,0.3680233253041088
20011,0,1,0.7396023728867377
109286,0,1,0.7246371592237167
1419716,0,0,0.2857074436938489
97095,1,1,0.9045069107648734
9326,1,1,0.9959766224701007
751,1,1,0.9984360550543417
872,0,0,0.2838755784184217
5000475,1,0,0.3309613199740245
1279502,0,1,0.8212352842733741
1432718,0,0,0.16330008466375062
1519851,1,1,0.692976969733715
111398,1,1,0.6464337462248569
1330898,0,0,0.004735141213237184
54973,0,0,0.3998293291000466
21891,1,1,0.7328378166400814
10990,0,0,0.014322182222636487
74134,1,1,0.9831307367612762
1113541,1,1,0.999084367034289
59134,0,0,0.49792212259447743
1132433,0,0,0.05056981867666203
54726,0,0,0.3481706129830646
120215,1,1,0.9848096833990374
1283700,0,0,0.000977393666830801
1299613,0,0,0.14455997457024766
5000524,1,1,0.5317871273062716
294,1,1,0.6744686618452187
1441244,1,1,0.7713558750092445
44934,1,0,0.37077142160927595
